implementation_a_user_share,implementation_b_user_share,affected_share_if_a_rejects_dominant_chain,affected_share_if_b_rejects_dominant_chain
0.0,1.0,0.0,1.0
0.01,0.99,0.01,0.99
0.02,0.98,0.02,0.98
0.03,0.97,0.03,0.97
0.04,0.96,0.04,0.96
0.05,0.95,0.05,0.95
0.06,0.94,0.06,0.94
0.07,0.9299999999999999,0.07,0.9299999999999999
0.08,0.92,0.08,0.92
0.09,0.91,0.09,0.91
0.1,0.9,0.1,0.9
0.11,0.89,0.11,0.89
0.12,0.88,0.12,0.88
0.13,0.87,0.13,0.87
0.14,0.86,0.14,0.86
0.15,0.85,0.15,0.85
0.16,0.84,0.16,0.84
0.17,0.83,0.17,0.83
0.18,0.8200000000000001,0.18,0.8200000000000001
0.19,0.81,0.19,0.81
0.2,0.8,0.2,0.8
0.21,0.79,0.21,0.79
0.22,0.78,0.22,0.78
0.23,0.77,0.23,0.77
0.24,0.76,0.24,0.76
0.25,0.75,0.25,0.75
0.26,0.74,0.26,0.74
0.27,0.73,0.27,0.73
0.28,0.72,0.28,0.72
0.29,0.71,0.29,0.71
0.3,0.7,0.3,0.7
0.31,0.69,0.31,0.69
0.32,0.6799999999999999,0.32,0.6799999999999999
0.33,0.6699999999999999,0.33,0.6699999999999999
0.34,0.6599999999999999,0.34,0.6599999999999999
0.35,0.65,0.35,0.65
0.36,0.64,0.36,0.64
0.37,0.63,0.37,0.63
0.38,0.62,0.38,0.62
0.39,0.61,0.39,0.61
0.4,0.6,0.4,0.6
0.41,0.5900000000000001,0.41,0.5900000000000001
0.42,0.5800000000000001,0.42,0.5800000000000001
0.43,0.5700000000000001,0.43,0.5700000000000001
0.44,0.56,0.44,0.56
0.45,0.55,0.45,0.55
0.46,0.54,0.46,0.54
0.47,0.53,0.47,0.53
0.48,0.52,0.48,0.52
0.49,0.51,0.49,0.51
0.5,0.5,0.5,0.5
0.51,0.49,0.51,0.49
0.52,0.48,0.52,0.48
0.53,0.47,0.53,0.47
0.54,0.45999999999999996,0.54,0.45999999999999996
0.55,0.44999999999999996,0.55,0.44999999999999996
0.56,0.43999999999999995,0.56,0.43999999999999995
0.57,0.43000000000000005,0.57,0.43000000000000005
0.58,0.42000000000000004,0.58,0.42000000000000004
0.59,0.41000000000000003,0.59,0.41000000000000003
0.6,0.4,0.6,0.4
0.61,0.39,0.61,0.39
0.62,0.38,0.62,0.38
0.63,0.37,0.63,0.37
0.64,0.36,0.64,0.36
0.65,0.35,0.65,0.35
0.66,0.33999999999999997,0.66,0.33999999999999997
0.67,0.32999999999999996,0.67,0.32999999999999996
0.68,0.31999999999999995,0.68,0.31999999999999995
0.69,0.31000000000000005,0.69,0.31000000000000005
0.7,0.30000000000000004,0.7,0.30000000000000004
0.71,0.29000000000000004,0.71,0.29000000000000004
0.72,0.28,0.72,0.28
0.73,0.27,0.73,0.27
0.74,0.26,0.74,0.26
0.75,0.25,0.75,0.25
0.76,0.24,0.76,0.24
0.77,0.22999999999999998,0.77,0.22999999999999998
0.78,0.21999999999999997,0.78,0.21999999999999997
0.79,0.20999999999999996,0.79,0.20999999999999996
0.8,0.19999999999999996,0.8,0.19999999999999996
0.81,0.18999999999999995,0.81,0.18999999999999995
0.82,0.18000000000000005,0.82,0.18000000000000005
0.83,0.17000000000000004,0.83,0.17000000000000004
0.84,0.16000000000000003,0.84,0.16000000000000003
0.85,0.15000000000000002,0.85,0.15000000000000002
0.86,0.14,0.86,0.14
0.87,0.13,0.87,0.13
0.88,0.12,0.88,0.12
0.89,0.10999999999999999,0.89,0.10999999999999999
0.9,0.09999999999999998,0.9,0.09999999999999998
0.91,0.08999999999999997,0.91,0.08999999999999997
0.92,0.07999999999999996,0.92,0.07999999999999996
0.93,0.06999999999999995,0.93,0.06999999999999995
0.94,0.06000000000000005,0.94,0.06000000000000005
0.95,0.050000000000000044,0.95,0.050000000000000044
0.96,0.040000000000000036,0.96,0.040000000000000036
0.97,0.030000000000000027,0.97,0.030000000000000027
0.98,0.020000000000000018,0.98,0.020000000000000018
0.99,0.010000000000000009,0.99,0.010000000000000009
1.0,0.0,1.0,0.0
