implementations,node_allocation,total_effort,effort_per_implementation,conditional_codebase_failure_probability,fund_safety_failure_probability,liveness_failure_probability,bitcoin_majority_control_probability
1,3000001,20,20.0,0.10000000082446145,0.010000000081621684,0.010000000081621684,0.010000000081621684
2,1500001+1500000,20,10.0,0.100018159971905,0.0010903596000923924,0.018913236074344794,0.010001797837218595
3,1000001+1000000+1000000,20,6.666666666666667,0.10050905352053593,0.0019996902299001854,0.010949981614313441,0.0028992755456805686
4,750001+750000+750000+750000,20,5.0,0.10269517879963419,0.0004958557805913997,0.005539756831336779,0.0030178063059640887
5,600001+600000+600000+600000+600000,20,4.0,0.10732625555549367,0.0001600400915231766,0.00924729420885378,0.001135341049217513
6,500001+500000+500000+500000+500000+500000,20,3.3333333333333335,0.11426959733890096,0.00024289310758067619,0.006340050049208066,0.0013355404082690818
7,428572+428572+428572+428572+428571+428571+428571,20,2.857142857142857,0.12297304770704695,0.00014711471378726107,0.004493936836597065,0.0006816566780695982
8,375001+375000+375000+375000+375000+375000+375000+375000,20,2.5,0.13283399944955954,0.00011196203269870591,0.007853329105224736,0.0008715012841164834
9,333334+333334+333334+333334+333333+333333+333333+333333+333333,20,2.2222222222222223,0.14334720928875835,0.0001303909856960175,0.006903664497447347,0.0005553542858888678
10,300001+300000+300000+300000+300000+300000+300000+300000+300000+300000,20,2.0,0.1541341132946451,0.0001159170543309359,0.005496353242881393,0.000728528465888194
